Locus	Nr of genes in locus	Chromosome and position	Ensembl Gene ID	Gene symbol	Nominal P value	Gene closest to lead SNP	Gene bio-type	Top cis eQTL SNP (Westra et al. Nature Genetics 2014)	False discovery rate < 5%
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000118640	VAMP8	7.862144149029625E-6	true	protein_coding	rs1058588	Yes
rs5759167;rs742136;rs760699	2	chr22:43506754-43539400	ENSG00000100290	BIK	9.995828841142838E-6	true	protein_coding	rs5751435	Yes
rs1436642;rs17023964;rs17024046;rs1809632;rs6551427;rs6769886;rs6788255;rs6798262	2	chr3:87276421-87325737	ENSG00000083937	CHMP2B	9.868886395942791E-5	true	protein_coding+processed_transcript+retained_intron	rs12488607	Yes
rs785373	1	chr5:115420688-115748459	ENSG00000145781	COMMD10	2.9125124237134144E-4	true	protein_coding+nonsense_mediated_decay+processed_transcript	rs10519454;rs10519455	Yes
rs12137162	1	chr1:19665267-19812066	ENSG00000077549	CAPZB	3.7155453486380327E-4	true	protein_coding+processed_transcript	rs12091047	Yes
rs1250105	6	chr4:1160720-1381837	ENSG00000246629	-	5.30663759407963E-4	false	lincRNA	-	Yes
rs11316	4	chr7:73183328-73280223	ENSG00000165171	WBSCR27	9.933550991520928E-4	false	protein_coding+nonsense_mediated_decay+retained_intron	rs4255023	Yes
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000120437	ACAT2	0.0010438550138927914	true	protein_coding+processed_transcript	rs13194896	Yes
rs3825393	5	chr12:109826524-110035067	ENSG00000110921	MVK	0.0011456511062146266	false	protein_coding+processed_transcript+nonsense_mediated_decay+retained_intron	-	Yes
rs11666569	2	chr19:17160573-17324103	ENSG00000099331	MYO9B	0.0013376614546745668	true	protein_coding	rs10469470	Yes
rs1250105	6	chr4:1160720-1381837	ENSG00000159692	CTBP1	0.001584764292817972	false	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	rs12508446;rs1680030	Yes
rs4325349	2	chr12:52626304-52715182	ENSG00000135480	KRT7	0.001615086859208838	false	processed_transcript+protein_coding+retained_intron	-	Yes
rs3746337	6	chr20:25176329-25604811	ENSG00000100994	PYGB	0.0017289314388418888	false	protein_coding+processed_transcript	rs6076336	Yes
rs1058205;rs17632542;rs2659051	1	chr19:51358171-51364020	ENSG00000142515	KLK3	0.001978150834294749	true	protein_coding	-	Yes
rs1983891;rs3747744;rs6917029	2	chr6:41462591-41570122	ENSG00000137166	FOXP4	0.0020935522955563136	true	protein_coding	rs9471607	Yes
rs12938215	5	chr17:35441923-35969488	ENSG00000132142	ACACA	0.0025142573680226304	false	protein_coding	rs725038;rs2106772	No
rs7632169	1	chr3:127872297-128127485	ENSG00000132394	EEFSEC	0.0027182116095745518	true	protein_coding+processed_transcript	rs7433900	No
rs6673687;rs708723	4	chr1:205626979-205782876	ENSG00000069275	NUCKS1	0.0028123754153211813	true	protein_coding+processed_transcript	rs1772148	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143379	SETDB1	0.003065577193478171	false	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	rs11204747	No
rs11316	4	chr7:73183328-73280223	ENSG00000189143	CLDN4	0.0036682958017494553	true	processed_transcript+protein_coding	-	No
rs3755718	2	chr3:69068978-69129559	ENSG00000144744	UBA3	0.004278036457666593	true	protein_coding+nonsense_mediated_decay+retained_intron	-	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000156398	SFXN2	0.004820754349459672	false	protein_coding+processed_transcript	rs2902548	No
rs3746337	6	chr20:25176329-25604811	ENSG00000170191	NANP	0.00494861194175002	false	protein_coding	rs6115218;rs11700338	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143412	ANXA9	0.005498931095686941	false	protein_coding+processed_transcript	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000162613	FUBP1	0.005744992662480218	false	processed_transcript+nonsense_mediated_decay+protein_coding	-	No
rs3825393	5	chr12:109826524-110035067	ENSG00000151148	UBE3B	0.00607745928811918	false	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	rs2241209	No
rs11316	4	chr7:73183328-73280223	ENSG00000165215	CLDN3	0.006123102710396184	false	protein_coding	-	No
rs6096208	3	chr20:49505585-49577820	ENSG00000101126	ADNP	0.006454270717648475	false	protein_coding	rs4811099	No
rs2412106	5	chr14:65213002-65569413	ENSG00000125952	MAX	0.00664779461647966	false	protein_coding+nonsense_mediated_decay+retained_intron	rs2296316;rs4902358;rs1957949;rs942628	No
rs10795452	1	chr10:17184253-17244053	ENSG00000107614	TRDMT1	0.0072235582297509975	true	nonsense_mediated_decay+protein_coding+processed_transcript	rs17464824	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000138107	ACTR1A	0.007493627667141101	false	protein_coding+processed_transcript	rs2902544	No
rs3847414	2	chr10:32094365-32345359	ENSG00000170759	KIF5B	0.0076947062209175125	false	protein_coding+processed_transcript	rs211268	No
rs5759167;rs742136;rs760699	2	chr22:43506754-43539400	ENSG00000100294	MCAT	0.008226227568689772	false	protein_coding+processed_transcript	-	No
rs1800057	5	chr11:107879459-108338258	ENSG00000166266	CUL5	0.008367663308221258	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs12418673	No
rs3825393	5	chr12:109826524-110035067	ENSG00000110906	KCTD10	0.009091404391138373	false	protein_coding+nonsense_mediated_decay+retained_intron	rs6663	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000167642	SPINT2	0.00941673314321414	true	protein_coding	rs3786870	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000167644	C19orf33	0.00947141314380588	false	protein_coding	rs2304176	No
