Locus	Nr of genes in locus	Chromosome and position	Ensembl Gene ID	Gene symbol	Nominal P value	Gene closest to lead SNP	Gene bio-type	Top cis eQTL SNP (Westra et al. Nature Genetics 2014)	False discovery rate < 5%
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000118640	VAMP8	8.810357288759307E-6	true	protein_coding	rs1058588	Yes
rs5759167;rs742136;rs760699	2	chr22:43506754-43539400	ENSG00000100290	BIK	1.8122792758225612E-5	true	protein_coding	rs5751435	Yes
rs1436642;rs17023964;rs17024046;rs1809632;rs6551427;rs6769886;rs6788255;rs6798262	2	chr3:87276421-87325737	ENSG00000083937	CHMP2B	7.458334866980367E-5	true	protein_coding+processed_transcript+retained_intron	rs12488607	Yes
rs785373	1	chr5:115420688-115748459	ENSG00000145781	COMMD10	3.320419078404219E-4	true	protein_coding+nonsense_mediated_decay+processed_transcript	rs10519454;rs10519455	Yes
rs1250105	6	chr4:1160720-1381837	ENSG00000246629	-	5.59141252249574E-4	false	lincRNA	-	Yes
rs1058205;rs17632542;rs2659051	1	chr19:51358171-51364020	ENSG00000142515	KLK3	6.875213017247715E-4	true	protein_coding	-	Yes
rs11316	4	chr7:73183328-73280223	ENSG00000165171	WBSCR27	0.0010470641361606766	false	protein_coding+nonsense_mediated_decay+retained_intron	rs4255023	Yes
rs12137162	1	chr1:19665267-19812066	ENSG00000077549	CAPZB	0.0011334229339198068	true	protein_coding+processed_transcript	rs12091047	Yes
rs11666569	2	chr19:17160573-17324103	ENSG00000099331	MYO9B	0.0011719749512079391	true	protein_coding	rs10469470	Yes
rs1983891;rs3747744;rs6917029	2	chr6:41462591-41570122	ENSG00000137166	FOXP4	0.0012250354157356984	true	protein_coding	rs9471607	Yes
rs4325349	2	chr12:52626304-52715182	ENSG00000135480	KRT7	0.0012563682890053926	false	processed_transcript+protein_coding+retained_intron	-	Yes
rs3746337	6	chr20:25176329-25604811	ENSG00000100994	PYGB	0.001272650432688186	false	protein_coding+processed_transcript	rs6076336	Yes
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000120437	ACAT2	0.0015257891141848654	true	protein_coding+processed_transcript	rs13194896	Yes
rs6673687;rs708723	4	chr1:205626979-205782876	ENSG00000069275	NUCKS1	0.0019600000622516526	true	protein_coding+processed_transcript	rs1772148	Yes
rs7632169	1	chr3:127872297-128127485	ENSG00000132394	EEFSEC	0.0020217647436923457	true	protein_coding+processed_transcript	rs7433900	Yes
rs3825393	5	chr12:109826524-110035067	ENSG00000110921	MVK	0.002037998450257923	false	protein_coding+processed_transcript+nonsense_mediated_decay+retained_intron	-	Yes
rs12938215	5	chr17:35441923-35969488	ENSG00000132142	ACACA	0.0023079287023945153	false	protein_coding	rs725038;rs2106772	Yes
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143379	SETDB1	0.002378395667605829	false	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	rs11204747	Yes
rs3746337	6	chr20:25176329-25604811	ENSG00000170191	NANP	0.0025587973086198465	false	protein_coding	rs6115218;rs11700338	Yes
rs1250105	6	chr4:1160720-1381837	ENSG00000159692	CTBP1	0.002683251685974922	false	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	rs12508446;rs1680030	Yes
rs3755718	2	chr3:69068978-69129559	ENSG00000144744	UBA3	0.004011692726671361	true	protein_coding+nonsense_mediated_decay+retained_intron	-	No
rs11316	4	chr7:73183328-73280223	ENSG00000189143	CLDN4	0.0041689421844459075	true	processed_transcript+protein_coding	-	No
rs11316	4	chr7:73183328-73280223	ENSG00000165215	CLDN3	0.004249681980759677	false	protein_coding	-	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000156398	SFXN2	0.004265650258982561	false	protein_coding+processed_transcript	rs2902548	No
rs10795452	1	chr10:17184253-17244053	ENSG00000107614	TRDMT1	0.004550000300929294	true	nonsense_mediated_decay+protein_coding+processed_transcript	rs17464824	No
rs2412106	5	chr14:65213002-65569413	ENSG00000125952	MAX	0.004781120308969826	false	protein_coding+nonsense_mediated_decay+retained_intron	rs2296316;rs4902358;rs1957949;rs942628	No
rs6096208	3	chr20:49505585-49577820	ENSG00000101126	ADNP	0.005763857977352299	false	protein_coding	rs4811099	No
rs6702939	9	chr1:77747736-78604133	ENSG00000162613	FUBP1	0.006118925558119213	false	processed_transcript+nonsense_mediated_decay+protein_coding	-	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143412	ANXA9	0.006830908435077578	false	protein_coding+processed_transcript	-	No
rs3847414	2	chr10:32094365-32345359	ENSG00000170759	KIF5B	0.007041898278935447	false	protein_coding+processed_transcript	rs211268	No
rs5759167;rs742136;rs760699	2	chr22:43506754-43539400	ENSG00000100294	MCAT	0.007662044477744177	false	protein_coding+processed_transcript	-	No
rs10190310;rs11883500;rs2292884;rs6760963	3	chr2:238394071-238510257	ENSG00000115648	MLPH	0.007823277955849113	true	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	-	No
rs10792031	1	chr11:69061605-69182494	ENSG00000172927	MYEOV	0.007933559387953303	true	protein_coding+processed_transcript+retained_intron	rs10047435	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000167642	SPINT2	0.007980080471960443	true	protein_coding	rs3786870	No
rs8134378;rs914187	4	chr21:38437942-45746674	ENSG00000184012	TMPRSS2	0.008456482409509618	true	protein_coding+retained_intron+processed_transcript	-	No
rs3825393	5	chr12:109826524-110035067	ENSG00000110906	KCTD10	0.009184350939053626	false	protein_coding+nonsense_mediated_decay+retained_intron	rs6663	No
rs3825393	5	chr12:109826524-110035067	ENSG00000151148	UBE3B	0.010238380083306567	false	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	rs2241209	No
rs17122571	8	chr12:48366748-48745197	ENSG00000079387	SENP1	0.010369942849307763	false	nonsense_mediated_decay+protein_coding+retained_intron+processed_transcript	-	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000138107	ACTR1A	0.01121511940446106	false	protein_coding+processed_transcript	rs2902544	No
rs1800057	5	chr11:107879459-108338258	ENSG00000166266	CUL5	0.011294319962464118	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs12418673	No
rs1476161	8	chr17:8043809-8173809	ENSG00000196544	C17orf59	0.01165138071046284	true	protein_coding	rs4792722	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000167644	C19orf33	0.011965125600155372	false	protein_coding	rs2304176	No
rs6096208	3	chr20:49505585-49577820	ENSG00000000419	DPM1	0.012790806522839399	false	protein_coding+processed_transcript	rs6020694	No
rs11168936;rs11168962	2	chr12:49582519-49676768	ENSG00000167553	TUBA1C	0.013445382108001159	true	processed_transcript+protein_coding+nonsense_mediated_decay+retained_intron	-	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168894	RNF181	0.014736405484564423	false	retained_intron+protein_coding+nonsense_mediated_decay	-	No
rs3825393	5	chr12:109826524-110035067	ENSG00000139428	MMAB	0.015104981392853425	false	protein_coding+processed_transcript+nonsense_mediated_decay+retained_intron	rs918106	No
rs1048169	3	chr9:18927656-19103117	ENSG00000147874	HAUS6	0.019081082308716964	true	protein_coding	-	No
rs17122571	8	chr12:48366748-48745197	ENSG00000177981	ASB8	0.01934818986845055	false	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	rs7485057;rs7485057	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168883	USP39	0.019692357643143688	false	processed_transcript+protein_coding+nonsense_mediated_decay+retained_intron	rs11544042	No
rs11489585	5	chr7:77166592-77586818	ENSG00000127947	PTPN12	0.020315898043441506	false	protein_coding+retained_intron+nonsense_mediated_decay	rs12537271;rs12537271	No
rs11568311	12	chr16:66754796-67043661	ENSG00000166595	FAM96B	0.021962774844829086	false	protein_coding	-	No
rs12938215	5	chr17:35441923-35969488	ENSG00000108264	TADA2A	0.02319050364037489	true	protein_coding+nonsense_mediated_decay	-	No
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000112110	MRPL18	0.02396716672334994	false	processed_transcript+protein_coding	rs9365097;rs9365097	No
rs1250105	6	chr4:1160720-1381837	ENSG00000090316	MAEA	0.025471213932841283	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs13112706	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143457	GOLPH3L	0.026492796380627154	true	protein_coding+processed_transcript	-	No
rs2412106	5	chr14:65213002-65569413	ENSG00000176153	GPX2	0.02663066406400771	false	nonsense_mediated_decay+protein_coding	-	No
rs3798439	4	chr6:76005626-76629254	ENSG00000252498	-	0.027408701627995823	false	snRNA	-	No
rs5995794	1	chr22:40390953-40426043	ENSG00000133477	FAM83F	0.027772849181147974	true	protein_coding+processed_transcript	rs9611280	No
rs1476161	8	chr17:8043809-8173809	ENSG00000178921	PFAS	0.028815684367924865	false	protein_coding	rs9899432	No
rs1476161	8	chr17:8043809-8173809	ENSG00000178999	AURKB	0.030511875921743946	false	protein_coding	-	No
rs1160267	1	chr8:23536206-23540440	ENSG00000167034	NKX3-1	0.03128579959519164	true	protein_coding	-	No
rs10182643;rs10193919;rs2289081	1	chr2:20883803-21022882	ENSG00000118961	C2orf43	0.03148367729696536	true	protein_coding+retained_intron	rs10182643	No
rs3746337	6	chr20:25176329-25604811	ENSG00000101003	GINS1	0.0321309616835945	false	protein_coding+processed_transcript	-	No
rs6573971	5	chr14:70792102-71067384	ENSG00000133997	MED6	0.03251496017016507	false	protein_coding+retained_intron+processed_transcript	rs10131177	No
rs6806253;rs8179974	4	chr3:128198270-128399918	ENSG00000163902	RPN1	0.032966376286139666	false	protein_coding+processed_transcript+nonsense_mediated_decay+retained_intron	rs7624610	No
rs8069005	6	chr17:28521337-28903499	ENSG00000108578	BLMH	0.03336914400782666	false	protein_coding	rs2321706	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143437	ARNT	0.03503337839151648	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs11204735;rs2055975	No
rs1218582;rs1891805	3	chr1:154679902-154928599	ENSG00000163344	PMVK	0.03594770768630915	true	protein_coding	rs705094	No
rs11666569	2	chr19:17160573-17324103	ENSG00000131351	HAUS8	0.03765304707442179	false	protein_coding	-	No
rs2191139;rs8107333;rs8112363	2	chr19:41937224-42093197	ENSG00000105341	ATP5SL	0.03997417534673086	true	protein_coding	-	No
rs11568311	12	chr16:66754796-67043661	ENSG00000172840	PDP2	0.04049629295777189	false	protein_coding	rs2271025	No
rs12938215	5	chr17:35441923-35969488	ENSG00000006114	SYNRG	0.04159384672418976	false	protein_coding+retained_intron+processed_transcript	rs12602536;rs12450416	No
rs11568311	12	chr16:66754796-67043661	ENSG00000159593	NAE1	0.042385013004117324	false	protein_coding	rs11862377	No
rs10280277	1	chr7:47314752-47622156	ENSG00000136205	TNS3	0.04270588293496819	true	protein_coding+processed_transcript+retained_intron	rs12674402;rs17172860	No
rs1320961	2	chr6:135281516-135540311	ENSG00000112339	HBS1L	0.04440319840640422	false	protein_coding+retained_intron+nonsense_mediated_decay	rs4472368	No
rs2412106	5	chr14:65213002-65569413	ENSG00000258289	CHURC1	0.048754758374852325	false	protein_coding+retained_intron	-	No
rs6096208	3	chr20:49505585-49577820	ENSG00000124217	MOCS3	0.04933519004677459	true	protein_coding	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000036549	ZZZ3	0.05747464577262579	false	processed_transcript+protein_coding	rs17385707;rs17385707	No
