geneid;symbol;diseaseid;disease_name;score;association_type;original_source;sentence;pmid;pmid_year
3606;IL18;C0376358;Malignant neoplasm of prostate;0,36;Biomarker;CTD_human;"This study shows for the first time an association between <span class=""gene"" id=""17688413-9-59-64"">IL-18</span> gene promoter -137 G/C polymorphism and <span class=""disease"" id=""17688413-9-105-120"">prostate cancer</span> in a Chinese population.";17688413;2007
4846;NOS3;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"The present study aimed at evaluating the <span class=""gene"" id=""16458450-3-42-47"">ecNOS</span> Glu-298-Asp polymorphism by the PCR-RFLP technique, associating genotypes with gene expression levels and the tumor biomarker, <span class=""disease"" id=""16458450-3-175-190"">Prostate Cancer</span> Antigen (DD3), through semi-quantitative RT-PCR.";16458450;2006
1027;CDKN1B;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"These results suggest that in a European-American population, CDKN1A and <span class=""gene"" id=""12727815-11-73-79"">CDKN1B</span> variants are associated with advanced <span class=""disease"" id=""12727815-11-118-133"">prostate cancer</span>.";12727815;2003
2192;FBLN1;C0376358;Malignant neoplasm of prostate;0,32;Biomarker;CTD_human;"Expression of <span class=""gene"" id=""17929269-3-14-19"">FBLN1</span> (major splice forms C and D), FBLN4, FBLN5, SPOCK1, and TENC was compared between 47 <span class=""disease"" id=""17929269-3-105-120"">prostate cancer</span> samples and 13 benign prostatic tissues by quantitative RT-PCR.";17929269;2008
3728;JUP;C0376358;Malignant neoplasm of prostate;0,3;Biomarker;CTD_human;Identification of genes potentially involved in the acquisition of androgen-independent and metastatic tumor growth in an autochthonous genetically engineered mouse prostate cancer model.;17013881;2007
1317;SLC31A1;C0376358;Malignant neoplasm of prostate;0,31;Biomarker;CTD_human;"Furthermore, we determined that <span class=""disease"" id=""25320179-8-32-47"">prostate cancer</span> cells express high levels of <span class=""gene"" id=""25320179-8-77-81"">CTR1</span>, the primary copper transporter, and additional chaperones that are required to maintain intracellular copper homeostasis.";25320179;2014
23635;SSBP2;C0376358;Malignant neoplasm of prostate;0,31;Biomarker;CTD_human;"We identified hypermethylation of the ssDNA-binding protein 2 (<span class=""gene"" id=""18559593-2-63-68"">SSBP2</span>) promoter as a potential DNA marker for human <span class=""disease"" id=""18559593-2-115-130"">prostate cancer</span> based on previous bioinformatics results and pharmacologic unmasking microarray.";18559593;2008
1636;ACE;C0376358;Malignant neoplasm of prostate;0,34;Biomarker;CTD_human;"The risk of <span class=""disease"" id=""17465223-8-12-27"">prostate cancer</span> development, the PSA level and tumor metastasis may be associated with genetic variation in the <span class=""gene"" id=""17465223-8-124-129"">ACE I</span>/D genotypes which may be used as an important biomarker for further studies.";17465223;2007
2115;ETV1;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"Here we explore the mechanism of <span class=""gene"" id=""17671502-3-33-37"">ETV1</span> outlier expression in human prostate tumours and <span class=""disease"" id=""17671502-3-87-102"">prostate cancer</span> cell lines.";17671502;2007
4878;NPPA;C0376358;Malignant neoplasm of prostate;0,3;Therapeutic;CTD_human;Atrial natriuretic peptide and long acting natriuretic peptide inhibit MEK 1/2 activation in human prostate cancer cells.;18225537;2008
1027;CDKN1B;C0376358;Malignant neoplasm of prostate;0,4;Therapeutic;CTD_human;"Herein, we examined single nucleotide polymorphic variants in the 3'-untranslated region of CDKN1A (p21(cip1)) and in codon 109 of <span class=""gene"" id=""12727815-3-131-137"">CDKN1B</span> (p27(kip1)) for association with advanced <span class=""disease"" id=""12727815-3-180-195"">prostate cancer</span> in a European-American population.";12727815;2003
4824;NKX3-1;C0376358;Malignant neoplasm of prostate;0,54;Biomarker;CTD_human;Integrative molecular concept modeling of prostate cancer progression.;17173048;2007
6715;SRD5A1;C0376358;Malignant neoplasm of prostate;0,34;Biomarker;CTD_human;[Dutasteride in the treatment of hormone refractory prostate cancer].;18500220;2008
